theta_deg,linear_travel_mm
0,0
0.240160106737825,1.0963402724747
0.48032021347565,1.5430806433639
0.720480320213476,1.88300909082511
0.960640426951301,2.17635110643578
1.20080053368913,2.42378938747574
1.44096064042695,2.65488547676551
1.68112074716478,2.8555400565172
1.9212808539026,3.0546284463347
2.16144096064043,3.2239462821666
2.40160106737825,3.39196497889203
2.64176117411608,3.55861683077385
2.8819212808539,3.71012292788783
3.12208138759173,3.84676693680711
3.36224149432955,3.98233446638941
3.60240160106738,4.11678757941454
3.8425617078052,4.25008865052062
4.08272181454303,4.36904378093712
4.32288192128085,4.48700857399289
4.56304202801868,4.6039562904407
4.8032021347565,4.70703453880821
5.04336224149433,4.82198897542916
5.28352234823215,4.92325391531762
5.52368245496998,5.02363710477964
5.76384256170781,5.12312056527466
6.00400266844563,5.20941652342734
6.24416277518346,5.30716509775738
6.48432288192128,5.39191598043469
6.72448298865911,5.48786812397709
6.96464309539693,5.57102057018495
7.20480320213476,5.65340909999809
7.44496330887258,5.73502241603429
7.68512341561041,5.81584932721118
7.92528352234823,5.89587875028074
8.16544362908606,5.96383234179831
8.40560373582388,6.04235168510606
8.64576384256171,6.10899492872347
8.88592394929953,6.18596705874265
9.12608405603736,6.25126843740224
9.36624416277518,6.32665695231732
9.60640426951301,6.39058558355892
9.84656437625083,6.45387040221619
10.0867244829887,6.51650503272901
10.3268845897265,6.57848316503973
10.5670446964643,6.63979855522892
10.8072048032021,6.703339685677
11.04736490994,6.76361630234578
11.2875250166778,6.82389291901456
11.5276851234156,6.88416953568334
11.7678452301534,6.94444615235213
12.0080053368913,7.00472276902091
12.2481654436291,7.0649993856897
12.4883255503669,7.12527600235848
12.7284856571047,7.18555261902726
12.9686457638426,7.24582923569604
13.2088058705804,7.30610585236482
13.4489659773182,7.36638246903361
13.689126084056,7.42665908570239
13.9292861907939,7.48693570237118
14.1694462975317,7.54721231903996
14.4096064042695,7.60748893570874
14.6497665110073,7.66776555237752
14.8899266177452,7.72804216904631
15.130086724483,7.78831878571509
15.3702468312208,7.84859540238387
15.6104069379586,7.90887201905265
15.8505670446965,7.96914863572143
16.0907271514343,8.02942525239022
16.3308872581721,8.089701869059
16.5710473649099,8.14997848572778
16.8112074716478,8.21025510239656
17.0513675783856,8.27053171906535
17.2915276851234,8.33080833573413
17.5316877918612,8.39108495240291
17.7718478985991,8.4513615690717
18.0120080053369,8.51163818574048
18.2521681120747,8.57191480240926
18.4923282188125,8.63219141907804
18.7324883255504,8.69246803574683
18.9726484322882,8.75274465241561
19.212808539026,8.8130212690844
19.4529686457638,8.87329788575318
19.6931287525017,8.93357450242196
19.9332888592395,8.99385111909074
20.1734489659773,9.05412773575952
20.4136090727151,9.11440435242831
20.653769179453,9.17468096909709
20.8939292861908,9.23495758576587
21.1340893929286,9.29523420243465
21.3742494996664,9.35551081910344
21.6144096064043,9.41578743577222
21.8545697131421,9.476064052441
22.0947298198799,9.53634066910979
22.3348899266177,9.59661728577857
22.5750500333556,9.65689390244735
22.8152101400934,9.71717051911613
23.0553702468312,9.77744713578492
23.295530353569,9.8377237524537
23.5356904603069,9.89800036912248
23.7758505670447,9.95827698579126
24.0160106737825,10.0185536024601
24.2561707805203,10.0788302191288
24.4963308872582,10.1391068357976
24.736490993996,10.1993834524664
24.9766511007338,10.2596600691352
25.2168112074716,10.319936685804
25.4569713142095,10.3802133024727
25.6971314209473,10.4404899191415
25.9372915276851,10.5007665358103
26.1774516344229,10.5610431524791
26.4176117411608,10.6213197691479
26.6577718478986,10.6815963858167
26.8979319546364,10.7418730024854
27.1380920613742,10.8021496191542
27.3782521681121,10.862426235823
27.6184122748499,10.9227028524918
27.8585723815877,10.9829794691606
28.0987324883255,11.0432560858294
28.3388925950634,11.1035327024981
28.5790527018012,11.1638093191669
28.819212808539,11.2240859358357
29.0593729152768,11.2843625525045
29.2995330220147,11.3446391691733
29.5396931287525,11.4049157858421
29.7798532354903,11.4651924025108
30.0200133422282,11.5254690191796
30.260173448966,11.5857456358484
30.5003335557038,11.6460222525172
30.7404936624416,11.706298869186
30.9806537691795,11.7665754858547
31.2208138759173,11.8268521025235
31.4609739826551,11.8871287191923
31.7011340893929,11.9474053358611
31.9412941961308,12.0076819525299
32.1814543028686,12.0679585691987
32.4216144096064,12.1282351858674
32.6617745163442,12.1885118025362
32.9019346230821,12.248788419205
33.1420947298199,12.3090650358738
33.3822548365577,12.3693416525426
33.6224149432955,12.4296182692114
33.8625750500334,12.4898948858801
34.1027351567712,12.5501715025489
34.342895263509,12.6104481192177
34.5830553702468,12.6707247358865
34.8232154769847,12.7310013525553
35.0633755837225,12.7912779692241
35.3035356904603,12.8515545858928
35.5436957971981,12.9118312025616
35.783855903936,12.9721078192304
36.0240160106738,13.0323844358992
36.2641761174116,13.092661052568
36.5043362241494,13.1529376692367
36.7444963308873,13.2132142859055
36.9846564376251,13.2734909025743
37.2248165443629,13.3337675192431
37.4649766511007,13.3940441359119
37.7051367578386,13.4543207525807
37.9452968645764,13.5145973692494
38.1854569713142,13.5748739859182
38.425617078052,13.635150602587
38.6657771847899,13.6954272192558
38.9059372915277,13.7557038359246
39.1460973982655,13.8159804525934
39.3862575050033,13.8762570692621
39.6264176117412,13.9365336859309
39.866577718479,13.9968103025997
40.1067378252168,14.0570869192685
40.3468979319546,14.1173635359373
40.5870580386925,14.1776401526061
40.8272181454303,14.2379167692748
41.0673782521681,14.2981933859436
41.3075383589059,14.3584700026124
41.5476984656438,14.4187466192812
41.7878585723816,14.47902323595
42.0280186791194,14.5392998526188
